,operand_1,operand_2,result,is_train,input_str,tokenized
47,4,7,11,True,4+7=11EOSPADPADPADPADPADPAD,"[4, 10, 7, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
48,4,8,12,True,4+8=12EOSPADPADPADPADPADPAD,"[4, 10, 8, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
49,4,9,13,True,4+9=13EOSPADPADPADPADPADPAD,"[4, 10, 9, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
50,5,0,5,True,5+0=5EOSPADPADPADPADPADPADPAD,"[5, 10, 0, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
51,5,1,6,True,5+1=6EOSPADPADPADPADPADPADPAD,"[5, 10, 1, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
52,5,2,7,True,5+2=7EOSPADPADPADPADPADPADPAD,"[5, 10, 2, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
53,5,3,8,True,5+3=8EOSPADPADPADPADPADPADPAD,"[5, 10, 3, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
54,5,4,9,False,5+4=9EOSPADPADPADPADPADPADPAD,"[5, 10, 4, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
55,5,5,10,True,5+5=10EOSPADPADPADPADPADPAD,"[5, 10, 5, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
56,5,6,11,False,5+6=11EOSPADPADPADPADPADPAD,"[5, 10, 6, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
57,5,7,12,True,5+7=12EOSPADPADPADPADPADPAD,"[5, 10, 7, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
58,5,8,13,True,5+8=13EOSPADPADPADPADPADPAD,"[5, 10, 8, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
59,5,9,14,True,5+9=14EOSPADPADPADPADPADPAD,"[5, 10, 9, 11, 1, 4, 12, 13, 13, 13, 13, 13, 13]"
60,6,0,6,True,6+0=6EOSPADPADPADPADPADPADPAD,"[6, 10, 0, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
61,6,1,7,False,6+1=7EOSPADPADPADPADPADPADPAD,"[6, 10, 1, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
62,6,2,8,True,6+2=8EOSPADPADPADPADPADPADPAD,"[6, 10, 2, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
63,6,3,9,False,6+3=9EOSPADPADPADPADPADPADPAD,"[6, 10, 3, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
64,6,4,10,True,6+4=10EOSPADPADPADPADPADPAD,"[6, 10, 4, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
65,6,5,11,False,6+5=11EOSPADPADPADPADPADPAD,"[6, 10, 5, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
66,6,6,12,True,6+6=12EOSPADPADPADPADPADPAD,"[6, 10, 6, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
67,6,7,13,True,6+7=13EOSPADPADPADPADPADPAD,"[6, 10, 7, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
68,6,8,14,True,6+8=14EOSPADPADPADPADPADPAD,"[6, 10, 8, 11, 1, 4, 12, 13, 13, 13, 13, 13, 13]"
69,6,9,15,False,6+9=15EOSPADPADPADPADPADPAD,"[6, 10, 9, 11, 1, 5, 12, 13, 13, 13, 13, 13, 13]"
70,7,0,7,True,7+0=7EOSPADPADPADPADPADPADPAD,"[7, 10, 0, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
71,7,1,8,True,7+1=8EOSPADPADPADPADPADPADPAD,"[7, 10, 1, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
72,7,2,9,True,7+2=9EOSPADPADPADPADPADPADPAD,"[7, 10, 2, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
73,7,3,10,True,7+3=10EOSPADPADPADPADPADPAD,"[7, 10, 3, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
74,7,4,11,True,7+4=11EOSPADPADPADPADPADPAD,"[7, 10, 4, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
75,7,5,12,False,7+5=12EOSPADPADPADPADPADPAD,"[7, 10, 5, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
76,7,6,13,True,7+6=13EOSPADPADPADPADPADPAD,"[7, 10, 6, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
77,7,7,14,True,7+7=14EOSPADPADPADPADPADPAD,"[7, 10, 7, 11, 1, 4, 12, 13, 13, 13, 13, 13, 13]"
78,7,8,15,True,7+8=15EOSPADPADPADPADPADPAD,"[7, 10, 8, 11, 1, 5, 12, 13, 13, 13, 13, 13, 13]"
79,7,9,16,True,7+9=16EOSPADPADPADPADPADPAD,"[7, 10, 9, 11, 1, 6, 12, 13, 13, 13, 13, 13, 13]"
80,8,0,8,True,8+0=8EOSPADPADPADPADPADPADPAD,"[8, 10, 0, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
81,8,1,9,True,8+1=9EOSPADPADPADPADPADPADPAD,"[8, 10, 1, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
82,8,2,10,True,8+2=10EOSPADPADPADPADPADPAD,"[8, 10, 2, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
83,8,3,11,False,8+3=11EOSPADPADPADPADPADPAD,"[8, 10, 3, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
84,8,4,12,True,8+4=12EOSPADPADPADPADPADPAD,"[8, 10, 4, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
85,8,5,13,True,8+5=13EOSPADPADPADPADPADPAD,"[8, 10, 5, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
86,8,6,14,True,8+6=14EOSPADPADPADPADPADPAD,"[8, 10, 6, 11, 1, 4, 12, 13, 13, 13, 13, 13, 13]"
87,8,7,15,True,8+7=15EOSPADPADPADPADPADPAD,"[8, 10, 7, 11, 1, 5, 12, 13, 13, 13, 13, 13, 13]"
88,8,8,16,True,8+8=16EOSPADPADPADPADPADPAD,"[8, 10, 8, 11, 1, 6, 12, 13, 13, 13, 13, 13, 13]"
89,8,9,17,True,8+9=17EOSPADPADPADPADPADPAD,"[8, 10, 9, 11, 1, 7, 12, 13, 13, 13, 13, 13, 13]"
90,9,0,9,True,9+0=9EOSPADPADPADPADPADPADPAD,"[9, 10, 0, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
91,9,1,10,True,9+1=10EOSPADPADPADPADPADPAD,"[9, 10, 1, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
92,9,2,11,True,9+2=11EOSPADPADPADPADPADPAD,"[9, 10, 2, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
93,9,3,12,True,9+3=12EOSPADPADPADPADPADPAD,"[9, 10, 3, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
94,9,4,13,True,9+4=13EOSPADPADPADPADPADPAD,"[9, 10, 4, 11, 1, 3, 12, 13, 13, 13, 13, 13, 13]"
95,9,5,14,True,9+5=14EOSPADPADPADPADPADPAD,"[9, 10, 5, 11, 1, 4, 12, 13, 13, 13, 13, 13, 13]"
96,9,6,15,True,9+6=15EOSPADPADPADPADPADPAD,"[9, 10, 6, 11, 1, 5, 12, 13, 13, 13, 13, 13, 13]"
97,9,7,16,True,9+7=16EOSPADPADPADPADPADPAD,"[9, 10, 7, 11, 1, 6, 12, 13, 13, 13, 13, 13, 13]"
98,9,8,17,False,9+8=17EOSPADPADPADPADPADPAD,"[9, 10, 8, 11, 1, 7, 12, 13, 13, 13, 13, 13, 13]"
99,9,9,18,True,9+9=18EOSPADPADPADPADPADPAD,"[9, 10, 9, 11, 1, 8, 12, 13, 13, 13, 13, 13, 13]"
0,0,10,10,True,0+10=10EOSPADPADPADPADPAD,"[0, 10, 1, 0, 11, 1, 0, 12, 13, 13, 13, 13, 13]"
1,0,11,11,False,0+11=11EOSPADPADPADPADPAD,"[0, 10, 1, 1, 11, 1, 1, 12, 13, 13, 13, 13, 13]"
2,0,12,12,True,0+12=12EOSPADPADPADPADPAD,"[0, 10, 1, 2, 11, 1, 2, 12, 13, 13, 13, 13, 13]"
3,0,13,13,False,0+13=13EOSPADPADPADPADPAD,"[0, 10, 1, 3, 11, 1, 3, 12, 13, 13, 13, 13, 13]"
4,0,14,14,False,0+14=14EOSPADPADPADPADPAD,"[0, 10, 1, 4, 11, 1, 4, 12, 13, 13, 13, 13, 13]"
5,0,15,15,True,0+15=15EOSPADPADPADPADPAD,"[0, 10, 1, 5, 11, 1, 5, 12, 13, 13, 13, 13, 13]"
6,0,16,16,False,0+16=16EOSPADPADPADPADPAD,"[0, 10, 1, 6, 11, 1, 6, 12, 13, 13, 13, 13, 13]"
7,0,17,17,False,0+17=17EOSPADPADPADPADPAD,"[0, 10, 1, 7, 11, 1, 7, 12, 13, 13, 13, 13, 13]"
8,0,18,18,False,0+18=18EOSPADPADPADPADPAD,"[0, 10, 1, 8, 11, 1, 8, 12, 13, 13, 13, 13, 13]"
9,0,19,19,False,0+19=19EOSPADPADPADPADPAD,"[0, 10, 1, 9, 11, 1, 9, 12, 13, 13, 13, 13, 13]"
10,0,20,20,False,0+20=20EOSPADPADPADPADPAD,"[0, 10, 2, 0, 11, 2, 0, 12, 13, 13, 13, 13, 13]"
11,0,21,21,False,0+21=21EOSPADPADPADPADPAD,"[0, 10, 2, 1, 11, 2, 1, 12, 13, 13, 13, 13, 13]"
12,0,22,22,True,0+22=22EOSPADPADPADPADPAD,"[0, 10, 2, 2, 11, 2, 2, 12, 13, 13, 13, 13, 13]"
13,0,23,23,False,0+23=23EOSPADPADPADPADPAD,"[0, 10, 2, 3, 11, 2, 3, 12, 13, 13, 13, 13, 13]"
14,0,24,24,True,0+24=24EOSPADPADPADPADPAD,"[0, 10, 2, 4, 11, 2, 4, 12, 13, 13, 13, 13, 13]"
15,0,25,25,False,0+25=25EOSPADPADPADPADPAD,"[0, 10, 2, 5, 11, 2, 5, 12, 13, 13, 13, 13, 13]"
16,0,26,26,True,0+26=26EOSPADPADPADPADPAD,"[0, 10, 2, 6, 11, 2, 6, 12, 13, 13, 13, 13, 13]"
17,0,27,27,True,0+27=27EOSPADPADPADPADPAD,"[0, 10, 2, 7, 11, 2, 7, 12, 13, 13, 13, 13, 13]"
18,0,28,28,False,0+28=28EOSPADPADPADPADPAD,"[0, 10, 2, 8, 11, 2, 8, 12, 13, 13, 13, 13, 13]"
19,0,29,29,False,0+29=29EOSPADPADPADPADPAD,"[0, 10, 2, 9, 11, 2, 9, 12, 13, 13, 13, 13, 13]"
20,0,30,30,False,0+30=30EOSPADPADPADPADPAD,"[0, 10, 3, 0, 11, 3, 0, 12, 13, 13, 13, 13, 13]"
21,0,31,31,True,0+31=31EOSPADPADPADPADPAD,"[0, 10, 3, 1, 11, 3, 1, 12, 13, 13, 13, 13, 13]"
22,0,32,32,False,0+32=32EOSPADPADPADPADPAD,"[0, 10, 3, 2, 11, 3, 2, 12, 13, 13, 13, 13, 13]"
23,0,33,33,True,0+33=33EOSPADPADPADPADPAD,"[0, 10, 3, 3, 11, 3, 3, 12, 13, 13, 13, 13, 13]"
24,0,34,34,False,0+34=34EOSPADPADPADPADPAD,"[0, 10, 3, 4, 11, 3, 4, 12, 13, 13, 13, 13, 13]"
25,0,35,35,False,0+35=35EOSPADPADPADPADPAD,"[0, 10, 3, 5, 11, 3, 5, 12, 13, 13, 13, 13, 13]"
26,0,36,36,True,0+36=36EOSPADPADPADPADPAD,"[0, 10, 3, 6, 11, 3, 6, 12, 13, 13, 13, 13, 13]"
27,0,37,37,True,0+37=37EOSPADPADPADPADPAD,"[0, 10, 3, 7, 11, 3, 7, 12, 13, 13, 13, 13, 13]"
28,0,38,38,False,0+38=38EOSPADPADPADPADPAD,"[0, 10, 3, 8, 11, 3, 8, 12, 13, 13, 13, 13, 13]"
29,0,39,39,True,0+39=39EOSPADPADPADPADPAD,"[0, 10, 3, 9, 11, 3, 9, 12, 13, 13, 13, 13, 13]"
30,0,40,40,True,0+40=40EOSPADPADPADPADPAD,"[0, 10, 4, 0, 11, 4, 0, 12, 13, 13, 13, 13, 13]"
31,0,41,41,False,0+41=41EOSPADPADPADPADPAD,"[0, 10, 4, 1, 11, 4, 1, 12, 13, 13, 13, 13, 13]"
32,0,42,42,False,0+42=42EOSPADPADPADPADPAD,"[0, 10, 4, 2, 11, 4, 2, 12, 13, 13, 13, 13, 13]"
33,0,43,43,True,0+43=43EOSPADPADPADPADPAD,"[0, 10, 4, 3, 11, 4, 3, 12, 13, 13, 13, 13, 13]"
34,0,44,44,True,0+44=44EOSPADPADPADPADPAD,"[0, 10, 4, 4, 11, 4, 4, 12, 13, 13, 13, 13, 13]"
35,0,45,45,False,0+45=45EOSPADPADPADPADPAD,"[0, 10, 4, 5, 11, 4, 5, 12, 13, 13, 13, 13, 13]"
36,0,46,46,False,0+46=46EOSPADPADPADPADPAD,"[0, 10, 4, 6, 11, 4, 6, 12, 13, 13, 13, 13, 13]"
37,0,47,47,False,0+47=47EOSPADPADPADPADPAD,"[0, 10, 4, 7, 11, 4, 7, 12, 13, 13, 13, 13, 13]"
38,0,48,48,False,0+48=48EOSPADPADPADPADPAD,"[0, 10, 4, 8, 11, 4, 8, 12, 13, 13, 13, 13, 13]"
39,0,49,49,False,0+49=49EOSPADPADPADPADPAD,"[0, 10, 4, 9, 11, 4, 9, 12, 13, 13, 13, 13, 13]"
40,0,50,50,True,0+50=50EOSPADPADPADPADPAD,"[0, 10, 5, 0, 11, 5, 0, 12, 13, 13, 13, 13, 13]"
41,0,51,51,False,0+51=51EOSPADPADPADPADPAD,"[0, 10, 5, 1, 11, 5, 1, 12, 13, 13, 13, 13, 13]"
42,0,52,52,False,0+52=52EOSPADPADPADPADPAD,"[0, 10, 5, 2, 11, 5, 2, 12, 13, 13, 13, 13, 13]"
43,0,53,53,False,0+53=53EOSPADPADPADPADPAD,"[0, 10, 5, 3, 11, 5, 3, 12, 13, 13, 13, 13, 13]"
44,0,54,54,True,0+54=54EOSPADPADPADPADPAD,"[0, 10, 5, 4, 11, 5, 4, 12, 13, 13, 13, 13, 13]"
45,0,55,55,False,0+55=55EOSPADPADPADPADPAD,"[0, 10, 5, 5, 11, 5, 5, 12, 13, 13, 13, 13, 13]"
46,0,56,56,False,0+56=56EOSPADPADPADPADPAD,"[0, 10, 5, 6, 11, 5, 6, 12, 13, 13, 13, 13, 13]"
47,0,57,57,True,0+57=57EOSPADPADPADPADPAD,"[0, 10, 5, 7, 11, 5, 7, 12, 13, 13, 13, 13, 13]"
48,0,58,58,True,0+58=58EOSPADPADPADPADPAD,"[0, 10, 5, 8, 11, 5, 8, 12, 13, 13, 13, 13, 13]"
49,0,59,59,False,0+59=59EOSPADPADPADPADPAD,"[0, 10, 5, 9, 11, 5, 9, 12, 13, 13, 13, 13, 13]"
50,0,60,60,False,0+60=60EOSPADPADPADPADPAD,"[0, 10, 6, 0, 11, 6, 0, 12, 13, 13, 13, 13, 13]"
51,0,61,61,False,0+61=61EOSPADPADPADPADPAD,"[0, 10, 6, 1, 11, 6, 1, 12, 13, 13, 13, 13, 13]"
52,0,62,62,True,0+62=62EOSPADPADPADPADPAD,"[0, 10, 6, 2, 11, 6, 2, 12, 13, 13, 13, 13, 13]"
53,0,63,63,False,0+63=63EOSPADPADPADPADPAD,"[0, 10, 6, 3, 11, 6, 3, 12, 13, 13, 13, 13, 13]"
54,0,64,64,False,0+64=64EOSPADPADPADPADPAD,"[0, 10, 6, 4, 11, 6, 4, 12, 13, 13, 13, 13, 13]"
55,0,65,65,True,0+65=65EOSPADPADPADPADPAD,"[0, 10, 6, 5, 11, 6, 5, 12, 13, 13, 13, 13, 13]"
56,0,66,66,True,0+66=66EOSPADPADPADPADPAD,"[0, 10, 6, 6, 11, 6, 6, 12, 13, 13, 13, 13, 13]"
57,0,67,67,True,0+67=67EOSPADPADPADPADPAD,"[0, 10, 6, 7, 11, 6, 7, 12, 13, 13, 13, 13, 13]"
58,0,68,68,True,0+68=68EOSPADPADPADPADPAD,"[0, 10, 6, 8, 11, 6, 8, 12, 13, 13, 13, 13, 13]"
59,0,69,69,False,0+69=69EOSPADPADPADPADPAD,"[0, 10, 6, 9, 11, 6, 9, 12, 13, 13, 13, 13, 13]"
60,0,70,70,False,0+70=70EOSPADPADPADPADPAD,"[0, 10, 7, 0, 11, 7, 0, 12, 13, 13, 13, 13, 13]"
61,0,71,71,False,0+71=71EOSPADPADPADPADPAD,"[0, 10, 7, 1, 11, 7, 1, 12, 13, 13, 13, 13, 13]"
62,0,72,72,True,0+72=72EOSPADPADPADPADPAD,"[0, 10, 7, 2, 11, 7, 2, 12, 13, 13, 13, 13, 13]"
63,0,73,73,True,0+73=73EOSPADPADPADPADPAD,"[0, 10, 7, 3, 11, 7, 3, 12, 13, 13, 13, 13, 13]"
64,0,74,74,False,0+74=74EOSPADPADPADPADPAD,"[0, 10, 7, 4, 11, 7, 4, 12, 13, 13, 13, 13, 13]"
65,0,75,75,False,0+75=75EOSPADPADPADPADPAD,"[0, 10, 7, 5, 11, 7, 5, 12, 13, 13, 13, 13, 13]"
66,0,76,76,False,0+76=76EOSPADPADPADPADPAD,"[0, 10, 7, 6, 11, 7, 6, 12, 13, 13, 13, 13, 13]"
67,0,77,77,True,0+77=77EOSPADPADPADPADPAD,"[0, 10, 7, 7, 11, 7, 7, 12, 13, 13, 13, 13, 13]"
68,0,78,78,False,0+78=78EOSPADPADPADPADPAD,"[0, 10, 7, 8, 11, 7, 8, 12, 13, 13, 13, 13, 13]"
69,0,79,79,False,0+79=79EOSPADPADPADPADPAD,"[0, 10, 7, 9, 11, 7, 9, 12, 13, 13, 13, 13, 13]"
70,0,80,80,True,0+80=80EOSPADPADPADPADPAD,"[0, 10, 8, 0, 11, 8, 0, 12, 13, 13, 13, 13, 13]"
71,0,81,81,False,0+81=81EOSPADPADPADPADPAD,"[0, 10, 8, 1, 11, 8, 1, 12, 13, 13, 13, 13, 13]"
72,0,82,82,True,0+82=82EOSPADPADPADPADPAD,"[0, 10, 8, 2, 11, 8, 2, 12, 13, 13, 13, 13, 13]"
73,0,83,83,True,0+83=83EOSPADPADPADPADPAD,"[0, 10, 8, 3, 11, 8, 3, 12, 13, 13, 13, 13, 13]"
74,0,84,84,True,0+84=84EOSPADPADPADPADPAD,"[0, 10, 8, 4, 11, 8, 4, 12, 13, 13, 13, 13, 13]"
75,0,85,85,False,0+85=85EOSPADPADPADPADPAD,"[0, 10, 8, 5, 11, 8, 5, 12, 13, 13, 13, 13, 13]"
76,0,86,86,True,0+86=86EOSPADPADPADPADPAD,"[0, 10, 8, 6, 11, 8, 6, 12, 13, 13, 13, 13, 13]"
77,0,87,87,False,0+87=87EOSPADPADPADPADPAD,"[0, 10, 8, 7, 11, 8, 7, 12, 13, 13, 13, 13, 13]"
78,0,88,88,False,0+88=88EOSPADPADPADPADPAD,"[0, 10, 8, 8, 11, 8, 8, 12, 13, 13, 13, 13, 13]"
79,0,89,89,False,0+89=89EOSPADPADPADPADPAD,"[0, 10, 8, 9, 11, 8, 9, 12, 13, 13, 13, 13, 13]"
80,0,90,90,False,0+90=90EOSPADPADPADPADPAD,"[0, 10, 9, 0, 11, 9, 0, 12, 13, 13, 13, 13, 13]"
81,0,91,91,True,0+91=91EOSPADPADPADPADPAD,"[0, 10, 9, 1, 11, 9, 1, 12, 13, 13, 13, 13, 13]"
82,0,92,92,False,0+92=92EOSPADPADPADPADPAD,"[0, 10, 9, 2, 11, 9, 2, 12, 13, 13, 13, 13, 13]"
83,0,93,93,True,0+93=93EOSPADPADPADPADPAD,"[0, 10, 9, 3, 11, 9, 3, 12, 13, 13, 13, 13, 13]"
84,0,94,94,False,0+94=94EOSPADPADPADPADPAD,"[0, 10, 9, 4, 11, 9, 4, 12, 13, 13, 13, 13, 13]"
85,0,95,95,True,0+95=95EOSPADPADPADPADPAD,"[0, 10, 9, 5, 11, 9, 5, 12, 13, 13, 13, 13, 13]"
86,0,96,96,False,0+96=96EOSPADPADPADPADPAD,"[0, 10, 9, 6, 11, 9, 6, 12, 13, 13, 13, 13, 13]"
87,0,97,97,False,0+97=97EOSPADPADPADPADPAD,"[0, 10, 9, 7, 11, 9, 7, 12, 13, 13, 13, 13, 13]"
88,0,98,98,False,0+98=98EOSPADPADPADPADPAD,"[0, 10, 9, 8, 11, 9, 8, 12, 13, 13, 13, 13, 13]"
